Initial_Concentration_mgL,Adsorbent_Dosage_gL,pH,Contact_Time_min,Temperature_C,Removal_Efficiency_percent
40,0.6,6,60,35,77.02
10,0.6,6,60,35,83.14
20,0.6,6,60,35,77.61
60,0.6,6,60,35,73.08
80,0.6,6,60,35,70.59
100,0.6,6,60,35,72.97
40,0.2,6,60,35,70.04
40,0.4,6,60,35,71.67
40,0.8,6,60,35,77.01
40,1.0,6,60,35,79.59
40,0.6,2,60,35,63.41
40,0.6,4,60,35,72.09
40,0.6,8,60,35,75.54
40,0.6,10,60,35,71.25
40,0.6,12,60,35,64.8
40,0.6,6,5,35,59.06
40,0.6,6,10,35,62.81
40,0.6,6,20,35,66.62
40,0.6,6,30,35,72.65
40,0.6,6,45,35,75.16
40,0.6,6,90,35,78.46
40,0.6,6,120,35,80.3
40,0.6,6,60,25,74.65
40,0.6,6,60,45,77.41
20,0.6,6,60,35,78.94
40,0.6,6,30,35,71.65
40,0.6,6,5,35,59.31
40,0.6,2,60,35,64.54
40,0.6,2,60,35,64.07
40,0.6,6,90,35,77.74
20,0.6,6,60,35,78.2
40,0.6,6,10,35,63.69
80,0.6,6,60,35,72.51
20,0.6,6,60,35,79.38
40,0.6,8,60,35,75.5
40,0.6,6,60,45,78.84
40,0.6,6,20,35,66.99
40,0.6,6,30,35,71.98
40,0.6,6,20,35,66.62
40,0.6,6,30,35,70.03
40,0.6,8,60,35,73.97
60,0.6,6,60,35,73.61
40,0.6,6,90,35,80.06
40,0.6,2,60,35,66.35
40,0.6,8,60,35,75.69
40,0.8,6,60,35,77.67
80,0.6,6,60,35,71.09
40,0.6,6,60,25,75.3
40,0.6,6,30,35,72.42
40,0.6,6,5,35,57.96
40,1.0,6,60,35,80.34
40,0.6,6,45,35,74.99
40,0.6,10,60,35,71.19
40,0.6,2,60,35,65.13
40,0.6,2,60,35,64.66
100,0.6,6,60,35,71.09
20,0.6,6,60,35,79.15
40,0.6,10,60,35,70.18
40,0.6,6,120,35,79.07
10,0.6,6,60,35,81.72
40,0.6,6,90,35,77.31
40,0.6,6,45,35,73.41
40,0.2,6,60,35,70.8
40,0.6,6,5,35,60.38
60,0.6,6,60,35,74.34
40,0.6,6,30,35,71.72
40,0.6,6,10,35,62.61
40,0.8,6,60,35,79.96
10,0.6,6,60,35,81.0
40,0.6,6,60,45,76.61
